"export-world data (NetLogo 6.1.1)"
"SchellingGIS_2_1.nlogo"
"07/04/2020 16:28:35:809 +0200"

"RANDOM STATE"
"0 0 -1727483681 276 0.0 false -601199502 -1598094492 -1849006220 1424964767 357240703 -1115318711 -969991315 -1393743305 -705837497 -436242103 1446513467 -785897228 1672555601 -1902570227 -1265367640 -297981912 -1791559871 -1652491447 699521360 -1960641839 -1059815238 1005043855 686215068 275754943 1945715867 605736460 -986514042 -474040870 1726432004 -651190519 1357848395 -1856608807 89741912 -277505760 -1880065591 1519383710 -1166319263 728459250 1670892752 -943150846 1581500182 1370264527 -835432772 1590769487 -1887936162 110856885 -440936566 1608809427 -1606674752 180404796 250089785 -1060320359 -32780514 362818603 -1508512010 1559529296 673226953 -1878104380 1216699817 -68479803 1036510942 -2024608071 1864185075 -1975907842 -431637763 -1266577727 1301497220 -75855304 -326324693 -2122202211 20591361 1022540876 -1187616457 396216250 -3470986 -1018810768 399968768 2113882460 1115335431 1786832484 -1814866366 1433877722 -34109418 190833176 1097285465 -1207239875 -310598640 -1041316094 1761789802 2124327145 1090840384 1775578713 -1304243435 1184841954 -1430233722 1884758457 -124319720 1802403527 -956904090 85339366 -664511593 704825400 -1316916829 -613866738 1485401608 -1068088596 -204015198 2057593926 -1147656765 -1733706968 1224642397 1190650769 2888187 1863919176 -778148411 -1770742830 -660354719 71925714 -169112628 1129444836 1563413287 807740432 -476405771 -5161671 -450988215 1048367007 948932594 176096261 644589394 -1436696304 -2024253355 1141659632 1511313209 -2004179322 -2103718960 785684569 1669015102 -277444271 427920098 400168256 -1482902699 1844890863 -702601366 1853226118 -1079318740 -298273082 748525049 256120266 171169340 -353469025 1097248200 426896331 2055742719 -1661691506 -160226350 382355724 -149224920 -1791285325 -1278538484 -1259104898 -1269662604 1513089583 676681948 1022006953 -1917419757 -57852633 321673575 1911879945 -891965194 329119890 1916132268 1662803441 -919294230 -750897816 -753492549 -1662092839 931206342 908911351 -1563690087 -1650449545 1782776362 -1028551863 -1982491708 -1660978517 130353294 103013160 -640560965 -1123815065 -1529132468 -1791378738 91742120 426800397 -10667141 209021951 1854035883 -1495832681 1426954641 -641510610 1542996525 466658157 -2068165857 -1871386028 1349944851 -1407232924 -1529459712 -2059068564 1565737165 860685133 1979063678 71907600 -1128868610 1699360894 1934834388 2107095860 1838828838 1656805016 -916081451 -940033758 1746303131 500373037 1720380540 1285119381 -461973634 -743776772 1247735853 -1690387395 880204402 -1641435528 1417223719 1239427302 -279538646 -1365920245 592708149 812942237 254169142 -1769096893 -2028494288 1996765327 1556472596 -1748460065 -1409870762 -589473601 -2058544828 1490270838 -774344575 -177496957 -729703278 -1463680413 1087328927 -984643100 1087683704 -1348252618 -146355043 -114826077 -1949370437 1324999118 -1957204085 -276613228 1897102024 1740840607 1087676503 2060273922 1329576407 -704947621 -1288464186 503023033 -699299519 -1263072010 1356055675 -856649660 1858518986 -732441270 1265492811 1675331845 2123537426 970316050 -806717274 -518041500 1702684261 1973515535 -580711073 -984165322 637246582 -1098542391 -1723671329 -928029760 1703740151 221265836 1956131234 -445499484 571701842 985159744 -1807919629 -1459070837 1728918078 -179705616 -1755933465 -750787697 18503311 1809145233 1389109347 1097548696 -1883347887 -1352528442 -2130252812 633304483 -2060236401 -471654602 1578086626 -629527411 -834650237 1841897671 1352126665 -475068485 -44827377 -1298370919 -342050039 -48690188 1792450826 -1364157965 -1728841890 -760392419 -403401527 -1859225739 -1560311822 1644766521 1072199424 -1787233382 1045676638 -1850072306 -1899957071 188526243 1723696867 2139620670 -907254625 2061409830 780846061 -1449047267 -1861442573 -1297354233 -1817277928 -896013285 -15251142 173460910 1575502008 1566422309 686338788 -1272635718 97758291 -2132770896 -382947876 189010103 -358724564 371114731 550681593 1229670092 669790565 -1567080526 -667956996 -1134343507 -1265619636 658803532 -1252372691 -905159548 -2063005354 -1918803368 1957284692 622333173 578858978 -1662404369 -830589134 1410758346 1397970723 -647277597 21486213 -1928833813 -1694533208 -1639202106 -1110994021 1997768477 323432005 -715558432 -778080504 687342911 -2027632438 -568396980 -788165676 1453045330 1971792614 1470962519 1480552350 -245281230 -1488422125 -1667324387 1896291926 975155051 1982223300 1710897934 653512301 24529040 -1470416481 -1370588515 -2102259635 1615253197 447115926 -1726040869 -118816159 28309783 -1366767107 739303668 726439400 760756914 -63890813 -1065625735 1847151250 -463661142 519881278 -1369259111 212100299 -1801190165 841195630 996119517 1252617132 -1415271816 -1382646477 230493772 1865374834 -1232754760 -368900714 -2051629292 186191927 1301769269 1156966688 365582980 -240291682 972932655 -766299760 -1339705795 1358333746 1762096933 831731926 -131212844 1716237075 180464446 1930975983 779879023 101354527 468972817 2139398198 214699987 1750637232 -120619462 -968686793 -1252952288 570852530 1264493675 -1831653128 -1942165791 -921567869 1430952953 1968320552 1118895567 1982878663 607958347 -773353722 -1434034511 -1080958650 -1146639636 -1350014655 981046248 -1479844859 -401043549 -2068287012 -1116943858 -354052411 -1574565457 1468552586 -285191455 -2009233483 -779918792 1319385494 1884119189 1009334489 -2113174286 -1637455389 -613353788 1690879230 -243026545 -298603882 -1545989029 611136451 -1123937032 -1193174930 -1597473497 -671951619 -1389509372 128672265 -1700446419 597826068 491825998 156584590 -1220565065 388587250 1481216341 2030492002 1955192949 774341771 -56138726 -476668709 145162103 -2125673033 1195868457 -1456519447 220712781 -7975267 680197345 1025696766 -20552404 -851795895 -956283981 -166681651 1039618499 -53498681 -1610517504 -1571813076 -1163113005 -1445685396 -846677109 342601712 853011712 1785575107 522732185 1317088344 -14898316 -812011179 -286792 -864527775 -711076037 -1246801111 2025618223 -1708035297 -1043287699 -1573919104 1822934022 943568380 53506258 1365113745 1814221286 -1220997544 -1262829465 -364076035 -1583102740 -1269554234 1631966743 -2077935564 1639945435 716786649 -556200542 1518315291 -1159990934 -57105960 -1122045657 1721020878 -461871820 -1625059755 -257926637 -796015242 -331814068 -1290966283 743001286 -364848260 -2024084183 923202150 370751017 541987371 -1578076827 -448479978 583073678 -669072234 -799206833 -49037298 -1059660466 -1349565098 409603613 1577219188 -406271163 -787705376 -1070968096 661408116 -1773017896 2001733882 -1652864394 -1075543847 -931947807 -248264158 -1436254335 -1929703683 830609645 -800545845 1281446081 -1714563311 -1322466198 -1374620852 -411000007 431244764 1593605783 1482823747 812029315 118103319 2108986616 1559468476 -2123735647 -1256500352 167670834 -247356230 -2041791887 -542438430 1491693952 -110419326 -1030219470 -1960552186 53057142 -1974869309 406021629"

"GLOBALS"
"min-pxcor","max-pxcor","min-pycor","max-pycor","perspective","subject","nextIndex","directed-links","ticks","all-thresholds","always-move","always-search","beta-eth","beta-ses","color-axis-max","data-source","decisions-count","ethn-ses-recommendations","ethnicities","ethnicity","forced-moves-count","free-space","interact-with-ses","interacter-ses","measure","moves-count","neighbor-weight","others-ignore-ethn","scale-down-pop","searches-count","ses","sess","show-labels","show-links","stop-tick","threshold-mean","threshold-sd","tie-houses-to-ses","town","town-ethnicity-counts","town-popdata","town-ses-counts","town-totalpop","townshp","turnover"
