"export-world data (NetLogo 6.1.1)"
"SchellingGIS_2_1.nlogo"
"07/04/2020 21:00:46:158 +0200"

"RANDOM STATE"
"0 0 -1727483681 530 0.0 false 905996229 -1085845964 -1847243565 -440506909 479589581 1984695255 1395839592 -436833769 647732300 -470885454 -118007807 2083208567 266812845 -1136688334 1521728307 524541389 869702424 92858735 -1281611229 -1083341568 1900031003 871189073 32875034 -1024514571 -339869322 537550628 -1276839496 741067344 2006740068 -244030194 -1072153247 -1023530410 1998164660 1045296304 -750592854 187634778 -994037582 -136050742 -1874823437 -1350878946 -542672114 758609031 599133985 259003673 1228929871 -1032387337 -1108943130 831160786 -465601232 451238703 2101280643 -2137594145 -814827353 2078254462 -1982785535 -1417467156 2005135239 819851776 379175516 729064857 368564112 -993748426 -364051257 130060910 -1207746912 -1798756117 540507886 -1621491346 1831493009 -435714368 1903896374 650739652 741802261 -1624772342 -1063705227 999745310 -1800446185 564999082 -495152531 -407661586 1930885484 1045256924 -744596730 273847919 -1001438173 -333512626 33044465 -80703094 -456698249 -1972358713 -642246098 -1931047831 2081789393 -1027478345 -479398343 259056829 2042933371 171069158 -55455691 -905553300 -366324441 1771819656 -726580139 -898491890 -468237520 -1076141045 -1479768237 -247087045 143986898 1418841425 602894397 -1028599395 378067752 1557309204 1720981560 -1765598821 1032463722 -1327050296 -2102422145 1923026945 -1008315271 213885225 -362754238 -736252769 -228207551 -1144129773 -387372909 384862969 485194828 1925033618 -141546345 1664707985 1294446122 -447414108 -756985167 -3106441 -766863607 253532369 -292958116 -1390340716 -1128350396 1673994981 -821557359 1547665968 -2089922481 995334945 -1003442170 630893391 1771958296 933280601 458919328 -731978133 1019591329 -785200429 322672456 -847478612 -265671704 242986249 -746280768 -1744096564 -1213093455 767206899 -887370711 -516701982 324266808 751025436 -2131991707 418805223 -802267893 -154032017 -1535847140 1342854690 1879077906 -1032413147 -43257125 -1976183967 327559947 -1315261976 1823613126 -2073382318 1584914631 -479687569 -1896250069 -1934229814 -404779372 1672167196 -427765522 1903923864 21923802 879681172 1488163810 -872310038 1056981467 -489230218 480935911 1119596226 1039318672 -1084177906 1324398664 -2063278858 912365249 -663730254 -1448131203 1849432912 -293036234 950556815 -599952480 -1374370179 -1749539341 499066699 1940421790 832400519 -1227888196 1852427156 -1938528494 -1642868529 627582476 1703965612 1336493992 1655213464 1514189981 -438891016 466079548 408880942 1684139235 233612285 1896627130 1322010599 -2068075205 1286074868 423485098 112257873 -1681475079 2084894719 801703230 -1510027002 -720615892 322793070 1770712482 120371789 -404198207 54402222 730779242 -949415577 2130550920 -58742495 -134923989 1952335301 188838730 -9893160 -1145549171 -1447765450 285074871 -2080817095 -1910164362 -1583435827 1751829193 486470851 1953514410 620189764 1460667783 2110486217 -1101749251 1859346065 -1184012136 251251146 -30664627 -660076411 1581279154 -1568492581 729980012 -728882805 -1703464807 -2032315388 1972382235 1867472436 533834601 1781590919 -1051657257 -1357410998 1466919696 -366323698 1481290893 -1064137458 -33481681 1372529391 1411864585 1342576869 949500256 679737316 -1280984743 -272766316 631797855 1337599054 429885915 -1158988262 1122117927 493426369 -212640903 -625916725 800610654 -374605498 2007033537 -224168041 -1151825877 1080510556 -1230195527 -1898208221 -1385207572 -1154492772 874998495 1491997973 1330803642 -75729584 -822372757 1385542935 -1039691583 126522684 1683826361 1017883886 725346786 486136926 -77234162 -1260280166 -136343488 -1829067434 2121262659 -1052120460 1735408442 -1636985850 -572461548 -949156858 476192652 -944917183 566599254 -435420163 1131435778 -1092619700 2089434281 -1735286211 707522268 -949356944 1188992442 478047792 931311826 -420919650 -1933713409 826402934 -392329700 167240026 1005081660 1028974670 -771088741 -1981134262 -141005503 -1097380614 861948064 -53124823 855137441 -1700052230 -1508021100 -340217133 -842704703 -1292870208 453300739 1204281191 -1334220772 1094178178 1594061677 1667961991 -5983219 361197207 -563394609 1799678079 1881919876 -1442785254 -1583145326 1992110295 59580805 1109562947 1521414637 -629291538 856666745 -710251875 979144569 -1665898924 579319303 -1047313608 -1438016941 1727627140 -1874297376 1339768273 -1270376861 -1034042254 1829585887 -1695927092 1874834659 1347426608 -718320339 -1345028242 -946122921 -1089399291 2021055735 1131517936 1677078022 -1073035888 -1411380638 -1813501176 -955962504 110953690 -1886502830 1776289326 -1239001189 -1641608802 -1997388781 403040871 232000853 -2065710721 1666231456 1869471621 -800106196 -348912311 -369734051 -1924905241 193131101 732331281 -865412707 -697174471 -802120585 -992402024 -249865388 -1149991644 -1398477906 510091416 1709296070 637061834 -46738555 803814829 1347934554 882547269 1310888975 1855804290 956500891 -1246433886 -1754212625 -1635805907 835406136 -254987032 903356445 1723990227 -425561261 -22758236 -1983022090 1081057081 1977135308 1339376285 267751784 -782148230 -1344327492 1358099468 497313591 -898300766 1450440904 -1560816966 1116078822 -317468332 45817016 -1690035211 -1758608203 -593316094 42490972 1132876082 531211922 401531886 2086776842 -868734307 -135977942 1915386310 1417611333 758742802 -516920054 -839690840 1355471620 -363276555 -342018547 -1696386286 836872639 -1488606828 -1890307505 1251737172 367699257 2110668854 -1608054429 -39702612 -1922546348 821322821 -894547835 -1702087396 1474515662 525241541 1022862945 -410965498 -1445694601 1487006445 1794900121 -1305603446 -968530736 -1049544767 -967630152 -2118544295 919752959 1282686897 45513536 -725916806 1661857775 1379341335 2110980143 -1932034351 -1843761222 176237742 157057608 1279592431 -131474235 -436404986 -1380596526 -1782972966 1858035315 1153350301 514246749 1374237826 -1527178365 -1061016207 1380967868 1935309738 1725286260 1562459285 -466578891 379260791 1954763485 792275591 -572518120 1933784121 -1515734197 974627845 64754269 -465241547 -1055617179 189033174 371128321 1668901260 -1730950736 1092026532 1980842407 -388812784 -681798839 -1319225149 811014991 395228238 1964587797 638583493 -1722382981 -710247281 -1322615207 184741787 -617122406 1821871653 -1373249005 -1930899738 898752234 -428862531 692523051 -98358087 -1231075813 1000318662 -1321180410 453351939 -1270706467 1390385825 -975620441 -259406125 2037326327 2114589223 -2107537268 -4454480 1543006140 -771811329 -633425023 -1268754058 -1910154776 -131947412 -1551436687 -17884798 2087030762 -1531991632 -1576812663 567077562 -1813649809 1168746880 682090915 698083956 229129016 -171350619 -1663061404 -1870332496 573462866 -249565941 -1230984477 1347227506 -773247949 -549195636 -980565640 -618793272 -223654848 -2016818510 1872577583 -456140737 -1033788581 1185898602 941382048 -1796739063 1583447199 -950759029 1399613931 -306759714"

"GLOBALS"
"min-pxcor","max-pxcor","min-pycor","max-pycor","perspective","subject","nextIndex","directed-links","ticks","all-thresholds","always-move","always-search","beta-eth","beta-ses","color-axis-max","data-source","decisions-count","ethn-ses-recommendations","ethnicities","ethnicity","forced-moves-count","free-space","interact-with-ses","interacter-ses","measure","moves-count","neighbor-weight","others-ignore-ethn","scale-down-pop","searches-count","ses","sess","show-labels","show-links","stop-tick","threshold-mean","threshold-sd","tie-houses-to-ses","town","town-ethnicity-counts","town-popdata","town-ses-counts","town-totalpop","townshp","turnover"
