"export-world data (NetLogo 6.1.1)"
"SchellingGIS_2_1.nlogo"
"07/04/2020 16:04:01:353 +0200"

"RANDOM STATE"
"0 0 -1727483681 61 0.0 false 748751213 -970305284 -112377271 -1197814351 -696073851 291401660 1980662941 33061002 -539071571 729332784 33143449 1654687413 1445748611 -455135690 -1577989151 -289181101 1584419960 -1544046436 -912685419 -1288300270 1003837050 218614675 1116754290 1899552003 -849809476 -7890202 -1409722183 -537024756 1189700719 1399440637 1980925994 356857783 709241394 -1730843962 -1830424798 -2092165783 -1994023153 254461071 1914998280 -1758594319 778727806 -1763799590 -2146678275 1736990521 1445017238 1194740766 -470892236 -1361944263 -1031558650 -1949660505 1472148954 -448865944 -333220578 -1966604005 -702032020 1371906037 1375184456 1140026142 -1426045313 1268112971 -751100649 1047600352 1002920053 -596468993 1838165635 2016194609 -390780768 1745687498 -902313113 -509775682 1829945902 -1247612474 1193386054 -657111154 129560829 -722331038 -1272595342 1221043831 -139155427 -1057622581 -436881679 553989147 -103464811 1733583256 -833787489 838627206 1614764994 487013962 482977901 564970675 -2103284532 -277965816 -2147318650 1199662093 1564062403 706703072 1179853596 1172393514 433189875 1204376468 790957195 -484550842 1326520662 2034026520 -1734240915 1162480018 996466282 1415944324 -1282268122 -271368334 -2035905404 -482886781 -1840461296 -1421061253 316560603 -1007817842 -412412518 -880222549 1375973933 -2128988640 846402606 1835709010 1329083170 -670340019 -1603869359 774266630 865138301 -1697694942 -1337438826 2073591258 287651270 1859598963 -1990241440 1306707421 -750856 1047525295 1283747677 1085506739 1241575698 568193216 -799362726 519730622 1364750513 98047707 -499594081 1080930095 1051533518 -788836587 215517342 -427911658 -39497107 -1734325061 -1838137561 -1386910772 908618624 852084716 -103959975 1194898741 1566446087 -358053562 -856407597 888214681 -245314756 828066588 1129953005 -1777610930 1114454067 1123847583 -1780773837 -3320298 1502793895 -156413205 954638540 1434174203 310391718 1352008996 -400194186 2077547956 251096781 -1465839990 -173232389 -376637156 318157477 1868001384 -754887373 -165202734 -1426929478 1701040833 -111219181 -62718591 691782752 -1587558451 -1379582979 1009481957 -1379172859 -1592928262 -830030855 -1295103273 369127243 -781773218 477632722 -783484161 -749654732 1510554461 1337245299 1910958338 1107325851 -391876189 -960633242 -592334800 -156536893 2030033027 1741467266 -426377232 1775697513 -397007498 -1071825904 410398607 -621360258 -858981621 1950891592 554176876 -1520690040 -2071267576 692714512 769376219 1267828156 -1843949209 1874604667 -82334327 -1308224830 857189104 -269414823 -1003244298 -628187284 -314206653 1198824538 1647489349 -928962705 1149447120 -1435879867 -400834270 175375045 -1715139249 2030746323 -914892209 -906784811 -288769325 -439680385 1171855259 298558017 176955455 -615178190 95833044 -1334825292 719410089 -1364833340 -578477320 -1498859208 1534954389 -1602549759 -168674012 1642140627 -2002719724 555092791 -300887723 -1114592869 -2141474014 511890169 1566290746 -552065903 1813525966 -935202571 -1004479117 -1185664764 497200683 625307255 -1153331888 -1164482542 -791020332 -570861108 319000724 690877646 1245550860 -78700976 1720654286 1523358379 -1609447531 -843518082 840533520 1206574944 -800797801 1979790541 1932398336 -1728577734 906448233 1496401187 -909694523 -2095033899 -555674300 492273331 -109499125 1991331193 440131614 492330320 756386561 -1800247131 -329009582 1584644565 -1620934377 -1718495476 278879601 -566744627 -386747096 961648460 -233929535 1269673891 880538842 -141485298 180390207 876785475 213590114 -915770940 -157491653 -942874948 -1057164739 1080278404 172841421 348517338 -1865281356 -395492846 355977769 1458853086 -141266447 1946082336 -904590463 18757542 -226731122 1816410289 1603562330 872096318 171144531 -1465308381 -1466861804 687401640 -1196978376 -575615124 -1822259707 1724670665 -2002283180 311983915 591213691 -267263401 -2097621096 283385392 136678630 1227009031 -850945254 -1023238567 -1107600680 -1731265702 -1052738294 10886583 900855109 -861951899 1945056130 -1315323648 1033320543 -635718284 -1321046395 -888728232 -1912803354 998259131 668711993 187384093 1949405779 707070520 978948911 -473643756 165446135 947844879 641731272 1782287931 921289257 1670875477 950519795 -77074907 -1007257025 -1778562293 2145190507 -1865403184 -2052787446 -1489902509 -281696904 34447064 -2137131992 -1717170679 -333266728 121633358 460787859 -1188356012 -263807340 -964687821 1168502913 103347059 539424713 496685779 -537379249 -1411328922 -802739800 -1714986325 1199951156 553755602 -1728264502 1353890923 -390050305 695716238 -1315868802 1174094289 1694022930 -1936550569 102409302 -353284056 -2074802751 -738663962 -572860120 41820879 -2020902103 -151562547 -1523526617 -299310358 1208551033 439816183 -1662033501 1657344989 515585617 -689716992 1352496120 -1462759306 -1994802759 1031184466 -1607097037 -42174264 -1452806675 -1620530836 1521718770 2122821056 -1726796877 -1165158955 -1109182685 2134744618 -2057426775 -506535725 -1673789279 629101705 -1030666020 -70325840 2070619260 384128569 140969831 -2118267771 -1455375317 256410360 -826228799 1570408365 1958356898 -627005816 340096279 -2125122495 1703798256 608936759 98336985 -41600897 1118386793 1408409159 -393776153 1866446311 481624400 -138020792 -19252938 984385325 -1747234492 -589872815 -618202111 -1901908862 31683311 613334435 1834387013 1253402142 287709122 1609834615 1744323383 -2139772412 -838455668 -704957573 -1028381799 327590461 514775015 -242629458 1876769065 -1582371755 728329050 288441174 -229597885 263557099 867287524 784007637 1734778839 2026401818 34337774 1672137658 -1295800711 1455358456 1352581517 -782415759 1601155899 307443273 -621901742 -824769295 -2055372775 791470300 -1939282442 -812894814 208170150 -1484784051 2092298141 1338318247 1325372980 1968184919 1030640371 1506957986 107748389 1999959564 364294474 327466847 -210256810 1424876474 -87179109 653862165 364506729 1315484420 1267125662 -304049282 747732691 -73090199 -751842336 743825735 2001523214 -253602539 1921018576 759220370 -195030183 -456359634 -28711942 -1827476250 -157322212 2146141704 248109811 74445630 -991108105 -1711078306 1508249567 87734401 -593238697 -599785195 2057793163 -159789930 561284110 -1428668421 -944757456 -922962882 367032937 -498312151 -1305905304 1871070677 486029292 1052449818 1567624732 1703380820 -341949132 -1479098974 -1379964595 -94524398 -1695726085 2115642112 1906257084 -427255340 708846515 447214726 -1031193496 1613471498 1146320383 1164871607 -1498008107 -1136492609 1811723220 691799220 1628986290 -290693022 2134194169 1628771469 -585750736 -1886447389 455011767 -71661580 520304281 -1072436562 1589206014 -1411416933 181709201 1497141061 1988211151 1483134611 1990260897 -27563290 -308182037 139353071 -367901533 238519879 65498094 1620887454 -90669969 4280076 1459501664"

"GLOBALS"
"min-pxcor","max-pxcor","min-pycor","max-pycor","perspective","subject","nextIndex","directed-links","ticks","all-thresholds","always-move","always-search","beta-eth","beta-ses","color-axis-max","data-source","decisions-count","ethn-ses-recommendations","ethnicities","ethnicity","forced-moves-count","free-space","interact-with-ses","interacter-ses","measure","moves-count","neighbor-weight","others-ignore-ethn","scale-down-pop","searches-count","ses","sess","show-labels","show-links","stop-tick","threshold-mean","threshold-sd","tie-houses-to-ses","town","town-ethnicity-counts","town-popdata","town-ses-counts","town-totalpop","townshp","turnover"
