"export-world data (NetLogo 6.1.1)"
"SchellingGIS_2_1.nlogo"
"07/04/2020 19:22:00:441 +0200"

"RANDOM STATE"
"0 0 -1727483681 445 0.0 false -781669453 -839585785 -1902543904 1507637037 -160734693 386266201 -1447736980 45550079 -1728554662 72019099 -1870057507 -1251013597 1438150250 469799807 -1809709763 -1266898213 2086068557 1170502402 -1970132534 2008676805 1736577823 -849490566 -784755260 -241714409 1682613931 -591117220 794381245 1954389023 -459598208 -943422616 -500736997 -635192538 708135512 -361414155 -1643093676 1748064820 15737438 909475662 -1581193232 -1936659224 -1127581808 -531275629 335847769 1377514785 -1823510291 -249700216 -1353747015 1857738174 2082464334 191278475 1007989323 -2059834854 1482754084 -1801049256 977080136 -115239451 2064460670 809148899 -72484470 710108181 1963030583 437847867 11696913 -1557386771 600552340 -1105296383 844019821 999837114 -1712488190 1820737475 -500402541 1593827164 423913003 1347486764 -1389068614 -452395375 -1889505847 -1957616887 1420746643 1099489227 321769607 -656776175 1483703036 -1048188208 382691489 4922033 -331676734 -1433368494 -828381696 538599267 893003095 861635709 250475310 1292384842 -1788370802 -1218956542 -956674160 629897825 -737547847 539670878 -825363291 -1836886213 1979022450 -214440444 -72362502 136510811 -462120426 783268851 -14724638 -1245335870 1604045333 5569088 -401172561 1138637525 502388554 -1490022225 1045388775 2101204609 -2079464860 -1947577883 1900502940 795948359 1833479970 1210617710 -106844527 368872 -1244418124 -468640271 1171871150 1144650428 32620774 101948891 719188482 1085194072 -1115002680 -1189718454 1365922984 2121425848 1423026550 -1409786536 -1068422712 497690808 -2014221612 -1329773660 1315909473 1910905390 -1934191071 640185275 2143414366 1332903813 -929437323 -1328808613 388108910 -2063407906 220671144 -1101343121 1638868051 158302271 -859345233 -1849641075 -703808904 -642407137 -1237244642 600589432 1136634022 -265839525 900445267 544796553 1756769647 925202872 -1757150481 135945168 -1747097053 -1889695197 454947011 1192561781 1665647551 -178741362 324231021 1581027702 942447881 1062986006 1552229631 -1625524867 -895939607 -1137451898 -1936332418 -1506684779 -766914821 1396238351 -272923255 361904895 1973621245 -1700507711 963354135 1943855869 -1372559286 854711314 -1177991479 -728633428 -955200583 -1107454977 -1032559646 -1702261935 1958858950 -322993839 1035254459 1086846565 -106321714 -1379226287 304977429 1440222738 1716422827 -1390647356 2097331101 -391936654 2005541529 -1345554074 712116817 -666245104 -1648899838 -1319151765 -1139720436 -1081281286 -1013153548 644308831 824236117 -362555233 1621073338 853373370 960397935 434755403 -2012962603 -890977255 1586244045 1761088986 1143112253 406529543 259209787 -2023338060 -884143888 506400847 370875754 1271860096 435194020 1045781572 852538216 -1583565589 856244101 2102341187 -978818690 772532792 211166668 1491354021 -1930071897 8729580 -1866058614 -1586209405 -1253364123 -1179062453 348432474 -664020191 545942069 -466703792 -305584133 873563787 92001663 -2049825876 1582534437 954088164 915902879 1064364448 1871715079 -949905791 -1523662732 476130574 332802825 -1795690657 1683658992 266295959 1762322731 1667316403 106663783 1530330906 403516256 -349343484 305303005 770770397 1040682981 1586846092 -711140163 558511844 1865666383 1456250907 1820366689 -356810078 2105576726 -753385220 1613893914 280885242 520688714 667690192 1071949030 1812953778 -1284591247 1377209568 1554900663 -1310675005 1296111447 2059243286 2059161489 969511100 -1266999749 2101339664 670358382 -1604996461 -369371078 1278450713 -914981336 -2092210025 -2131324370 -1970756131 -850983918 1669407183 1293440078 1611438770 1380408229 400331578 1380593982 -764762534 2082986396 1706216697 -228215798 1160282609 -2133561583 -1943681051 510772960 -580837272 1792769728 759986842 -1445903985 -2123284122 -1039340641 -1125223259 -81471119 -972418093 1370068698 917325297 774377240 1774149222 -1721706016 -1942219697 -311993891 1654248608 -1743727659 -1262169084 -1904782174 -935277086 2027013284 -267691866 508167124 538652812 -1103043651 1877666756 957959516 -891919951 1568347567 666003986 -103359877 -138145161 -1281561869 -1304823362 -1930829242 1774457080 -1566065826 1739827610 1143298100 1663509026 -1561925060 242563753 919550745 -336946992 -2021669143 1262375915 1236448487 2118411713 -603751477 -1242284834 -485748492 -647809463 -1016061284 -1988683041 1246390301 -1259033730 1431500085 -1381644421 -1660032029 686645099 880870525 -743656047 1205736350 1494040820 422130761 -468348788 -123576745 1023710994 -1597120201 1632491646 -265583627 -870313852 -1217306028 -386182671 1152232069 -288005241 -966477858 1446144785 1478866191 -1963743626 219927089 -1147047260 320379848 -1606475507 933264565 720889740 1583613355 -1518803712 -61233499 -1850172485 318886662 -475394773 386081875 -868941630 -1793609006 1669477340 -146823331 76285434 -1061077960 1308244614 -901366524 -2124498403 288230990 1381626062 -1161889430 -1084332752 -1145761747 1637700702 -100177444 -539622396 85061517 -1540887406 -734232290 -1542755383 507490381 1924798331 -647619293 642214303 -1581962958 437609623 1004538690 -1503067935 -915998870 -1377856000 -1895568307 1951513192 -993470713 -1767118278 -1356268787 -469560473 1087028515 -1109858344 -1536027881 1357929035 -296116117 -330703484 -629417350 908002830 452665706 973866416 -2059026522 -596354445 -960551822 1945320468 -88582168 -2144086310 2120838706 559961220 395212832 1631229949 954714111 -1358017052 1347637971 -1394953146 -1426679045 138210171 187580012 1047243759 1530469799 -265026191 138979525 -413662560 -725285509 -1342006850 2104708304 1743760523 1033526529 550593819 -1043032497 -1864686459 -737858103 1332631504 1032527703 1628985116 -779439283 -374934477 -57384783 1549179305 -1070561195 -883323881 602717925 1955830772 -1446789024 1358520055 1980844310 -1118890820 2102257061 -52427288 -976376132 -370398920 844375163 1127137633 -1900738640 1279263424 -2022306013 -868529315 -65750073 382448959 1027158345 917214821 -1513521857 -387648100 1232934806 -1430369410 -478337721 1832442654 -140999967 139460393 -1217422521 1434844505 41619874 -636246410 67932810 -176339118 -1984146299 1177879004 775105035 -411501598 408336452 1908893208 2059463315 772142248 -1581186089 -202797452 -27749158 -1231690689 1180523342 -1375512746 190839752 477126704 -1171821307 438033337 1869268376 -630492170 1161590707 172295745 1506348544 -1717858792 145027956 2020224730 287133765 -272635228 -1320793026 959805223 -1389346331 -1627556945 -1020472207 287753248 -129245803 -888578660 1021603342 1303158316 1729153906 -727237318 2018952150 1575524044 1659362159 -1674839636 -508468800 -727693745 770365215 -916068656 -1791703329 -757050573 -1704849692 143041010 -1633510709 -866668611 -351990368 -868506306 198088559 -512253451 713324311 1935839235 862478987 1976641209 453947143 -357019703 1593702296 -1920921148 -1138445769 -1305673130 -1358361206 -804550705 -2034849384 749801189"

"GLOBALS"
"min-pxcor","max-pxcor","min-pycor","max-pycor","perspective","subject","nextIndex","directed-links","ticks","all-thresholds","always-move","always-search","beta-eth","beta-ses","color-axis-max","data-source","decisions-count","ethn-ses-recommendations","ethnicities","ethnicity","forced-moves-count","free-space","interact-with-ses","interacter-ses","measure","moves-count","neighbor-weight","others-ignore-ethn","scale-down-pop","searches-count","ses","sess","show-labels","show-links","stop-tick","threshold-mean","threshold-sd","tie-houses-to-ses","town","town-ethnicity-counts","town-popdata","town-ses-counts","town-totalpop","townshp","turnover"
